,match_id,type,team_info,won_count,drawn_count,lost_count,rate
0,100000,1,1,8,6,2,0.500000
1,100000,1,2,2,6,8,0.125000
2,100000,2,1,7,3,5,0.466700
3,100000,2,2,8,5,2,0.533300
4,100001,1,1,0,2,0,0.000000
5,100001,1,2,0,2,0,0.000000
6,100001,2,1,6,3,6,0.400000
7,100001,2,2,4,5,6,0.266700
8,100002,1,1,6,2,4,0.500000
9,100002,1,2,4,2,6,0.333300
10,100002,2,1,5,4,6,0.333300
11,100002,2,2,6,4,5,0.400000
12,100003,1,1,2,0,0,1.000000
13,100003,1,2,0,0,2,0.000000
14,100003,2,1,11,2,2,0.733300
15,100003,2,2,9,3,3,0.600000
16,100004,1,1,6,3,7,0.375000
17,100004,1,2,7,3,6,0.437500
18,100004,2,1,3,5,7,0.200000
19,100004,2,2,5,6,4,0.333300
20,100005,1,1,0,0,0,0.000000
21,100005,1,2,0,0,0,0.000000
22,100005,2,1,3,3,2,0.375000
23,100005,2,2,3,3,9,0.200000
24,100006,1,1,6,9,1,0.375000
25,100006,1,2,1,9,6,0.062500
26,100006,2,1,4,3,8,0.266700
27,100006,2,2,6,2,7,0.400000
28,100007,1,1,0,0,0,0.000000
29,100007,1,2,0,0,0,0.000000
30,100007,2,1,1,2,5,0.125000
31,100007,2,2,7,4,4,0.466700
32,100008,1,1,3,4,7,0.214300
33,100008,1,2,7,4,3,0.500000
34,100008,2,1,4,3,8,0.266700
35,100008,2,2,10,2,3,0.666700
36,100009,1,1,5,0,3,0.625000
37,100009,1,2,3,0,5,0.375000
38,100009,2,1,5,4,6,0.333300
39,100009,2,2,5,7,3,0.333300
40,100010,1,1,3,3,10,0.187500
41,100010,1,2,10,3,3,0.625000
42,100010,2,1,5,4,6,0.333300
43,100010,2,2,11,2,2,0.733300
44,100011,1,1,8,7,1,0.500000
45,100011,1,2,1,7,8,0.062500
46,100011,2,1,9,4,2,0.600000
47,100011,2,2,9,3,3,0.600000
48,100012,1,1,0,0,0,0.000000
49,100012,1,2,0,0,0,0.000000
50,100012,2,1,7,3,5,0.466700
51,100012,2,2,2,2,5,0.222200
52,100013,1,1,2,1,1,0.500000
53,100013,1,2,1,1,2,0.250000
54,100013,2,1,8,3,4,0.533300
55,100013,2,2,4,8,3,0.266700
56,100014,1,1,2,3,9,0.142900
57,100014,1,2,9,3,2,0.642900
58,100014,2,1,3,3,9,0.200000
59,100014,2,2,5,5,5,0.333300
60,100015,1,1,0,0,0,0.000000
61,100015,1,2,0,0,0,0.000000
62,100015,2,1,3,3,3,0.333300
63,100015,2,2,7,3,5,0.466700
64,100016,1,1,2,0,0,1.000000
65,100016,1,2,0,0,2,0.000000
66,100016,2,1,8,4,3,0.533300
67,100016,2,2,5,4,6,0.333300
68,100017,1,1,7,2,3,0.583300
69,100017,1,2,3,2,7,0.250000
70,100017,2,1,3,5,7,0.200000
71,100017,2,2,4,3,8,0.266700
72,100018,1,1,7,3,6,0.437500
73,100018,1,2,6,3,7,0.375000
74,100018,2,1,5,2,8,0.333300
75,100018,2,2,4,5,6,0.266700
76,100019,1,1,4,1,1,0.666700
77,100019,1,2,1,1,4,0.166700
78,100019,2,1,4,5,6,0.266700
79,100019,2,2,4,3,8,0.266700
80,100020,1,1,5,8,4,0.294100
81,100020,1,2,4,8,5,0.235300
82,100020,2,1,6,4,5,0.400000
83,100020,2,2,7,5,3,0.466700
84,100021,1,1,4,4,1,0.444400
85,100021,1,2,1,4,4,0.111100
86,100021,2,1,3,7,5,0.200000
87,100021,2,2,6,3,6,0.400000
88,100022,1,1,6,2,1,0.666700
89,100022,1,2,1,2,6,0.111100
90,100022,2,1,4,3,8,0.266700
91,100022,2,2,4,3,8,0.266700
92,100023,1,1,1,0,0,1.000000
93,100023,1,2,0,0,1,0.000000
94,100023,2,1,1,8,6,0.066700
95,100023,2,2,6,5,4,0.400000
96,100024,1,1,4,3,0,0.571400
97,100024,1,2,0,3,4,0.000000
98,100024,2,1,6,2,7,0.400000
99,100024,2,2,4,6,5,0.266700
100,100025,1,1,4,3,10,0.235300
101,100025,1,2,10,3,4,0.588200
102,100025,2,1,5,3,7,0.333300
103,100025,2,2,9,4,2,0.600000
104,100026,1,1,6,2,5,0.461500
105,100026,1,2,5,2,6,0.384600
106,100026,2,1,3,3,9,0.200000
107,100026,2,2,6,3,6,0.400000
108,100027,1,1,1,1,1,0.333300
109,100027,1,2,1,1,1,0.333300
110,100027,2,1,4,7,4,0.266700
111,100027,2,2,7,4,4,0.466700
112,100028,1,1,0,1,0,0.000000
113,100028,1,2,0,1,0,0.000000
114,100028,2,1,7,4,4,0.466700
115,100028,2,2,3,4,8,0.200000
116,100029,1,1,0,1,4,0.000000
117,100029,1,2,4,1,0,0.800000
118,100029,2,1,4,6,5,0.266700
119,100029,2,2,7,6,2,0.466700
120,100030,1,1,0,1,1,0.000000
121,100030,1,2,1,1,0,0.500000
122,100030,2,1,7,2,6,0.466700
123,100030,2,2,4,3,8,0.266700
124,100031,1,1,0,0,0,0.000000
125,100031,1,2,0,0,0,0.000000
126,100031,2,1,0,0,0,0.000000
127,100031,2,2,4,4,7,0.266700
128,100032,1,1,12,1,3,0.750000
129,100032,1,2,3,1,12,0.187500
130,100032,2,1,8,5,2,0.533300
131,100032,2,2,7,2,6,0.466700
132,100033,1,1,0,0,0,0.000000
133,100033,1,2,0,0,0,0.000000
134,100033,2,1,8,3,4,0.533300
135,100033,2,2,0,0,0,0.000000
136,100034,1,1,3,3,2,0.375000
137,100034,1,2,2,3,3,0.250000
138,100034,2,1,12,3,0,0.800000
139,100034,2,2,6,5,4,0.400000
140,100035,1,1,2,1,1,0.500000
141,100035,1,2,1,1,2,0.250000
142,100035,2,1,6,3,6,0.400000
143,100035,2,2,5,4,6,0.333300
144,100036,1,1,5,3,4,0.416700
145,100036,1,2,4,3,5,0.333300
146,100036,2,1,2,5,8,0.133300
147,100036,2,2,4,4,7,0.266700
148,100037,1,1,4,2,10,0.250000
149,100037,1,2,10,2,4,0.625000
150,100037,2,1,5,2,8,0.333300
151,100037,2,2,8,3,4,0.533300
152,100038,1,1,3,1,0,0.750000
153,100038,1,2,0,1,3,0.000000
154,100038,2,1,6,1,8,0.400000
155,100038,2,2,5,2,8,0.333300
156,100039,1,1,6,3,7,0.375000
157,100039,1,2,7,3,6,0.437500
158,100039,2,1,9,2,4,0.600000
159,100039,2,2,8,2,5,0.533300
160,100040,1,1,3,4,9,0.187500
161,100040,1,2,9,4,3,0.562500
162,100040,2,1,7,4,4,0.466700
163,100040,2,2,12,3,0,0.800000
164,100041,1,1,2,4,2,0.250000
165,100041,1,2,2,4,2,0.250000
166,100041,2,1,6,5,4,0.400000
167,100041,2,2,9,2,4,0.600000
168,100042,1,1,6,3,3,0.500000
169,100042,1,2,3,3,6,0.250000
170,100042,2,1,9,2,4,0.600000
171,100042,2,2,2,6,7,0.133300
172,100043,1,1,2,0,2,0.500000
173,100043,1,2,2,0,2,0.500000
174,100043,2,1,6,2,7,0.400000
175,100043,2,2,7,3,5,0.466700
176,100044,1,1,0,0,0,0.000000
177,100044,1,2,0,0,0,0.000000
178,100044,2,1,6,2,7,0.400000
179,100044,2,2,1,0,0,1.000000
180,100045,1,1,1,0,1,0.500000
181,100045,1,2,1,0,1,0.500000
182,100045,2,1,4,5,6,0.266700
183,100045,2,2,8,1,6,0.533300
184,100046,1,1,5,3,8,0.312500
185,100046,1,2,8,3,5,0.500000
186,100046,2,1,3,3,9,0.200000
187,100046,2,2,5,2,8,0.333300
188,100047,1,1,0,0,0,0.000000
189,100047,1,2,0,0,0,0.000000
190,100047,2,1,0,0,1,0.000000
191,100047,2,2,5,1,9,0.333300
192,100048,1,1,4,3,9,0.250000
193,100048,1,2,9,3,4,0.562500
194,100048,2,1,4,4,7,0.266700
195,100048,2,2,8,2,5,0.533300
196,100049,1,1,2,2,10,0.142900
197,100049,1,2,10,2,2,0.714300
198,100049,2,1,5,4,6,0.333300
199,100049,2,2,8,5,2,0.533300
200,100050,1,1,2,2,0,0.500000
201,100050,1,2,0,2,2,0.000000
202,100050,2,1,9,3,3,0.600000
203,100050,2,2,5,3,7,0.333300
204,100051,1,1,9,3,4,0.562500
205,100051,1,2,4,3,9,0.250000
206,100051,2,1,5,2,8,0.333300
207,100051,2,2,3,6,6,0.200000
208,100052,1,1,4,1,5,0.400000
209,100052,1,2,5,1,4,0.500000
210,100052,2,1,2,6,7,0.133300
211,100052,2,2,5,4,6,0.333300
212,100053,1,1,0,0,0,0.000000
213,100053,1,2,0,0,0,0.000000
214,100053,2,1,1,1,0,0.500000
215,100053,2,2,6,6,3,0.400000
216,100054,1,1,3,0,5,0.375000
217,100054,1,2,5,0,3,0.625000
218,100054,2,1,5,1,9,0.333300
219,100054,2,2,6,2,7,0.400000
220,100055,1,1,7,7,2,0.437500
221,100055,1,2,2,7,7,0.125000
222,100055,2,1,9,4,2,0.600000
223,100055,2,2,3,5,7,0.200000
224,100056,1,1,10,2,4,0.625000
225,100056,1,2,4,2,10,0.250000
226,100056,2,1,8,2,5,0.533300
227,100056,2,2,4,3,8,0.266700
228,100057,1,1,0,0,0,0.000000
229,100057,1,2,0,0,0,0.000000
230,100057,2,1,12,3,0,0.800000
231,100057,2,2,0,0,2,0.000000
232,100058,1,1,0,0,2,0.000000
233,100058,1,2,2,0,0,1.000000
234,100058,2,1,8,3,4,0.533300
235,100058,2,2,10,2,3,0.666700
236,100059,1,1,2,1,1,0.500000
237,100059,1,2,1,1,2,0.250000
238,100059,2,1,7,4,4,0.466700
239,100059,2,2,6,5,4,0.400000
240,100060,1,1,3,8,5,0.187500
241,100060,1,2,5,8,3,0.312500
242,100060,2,1,5,3,7,0.333300
243,100060,2,2,7,3,5,0.466700
244,100061,1,1,1,6,5,0.083300
245,100061,1,2,5,6,1,0.416700
246,100061,2,1,2,5,8,0.133300
247,100061,2,2,2,7,6,0.133300
248,100062,1,1,1,2,1,0.250000
249,100062,1,2,1,2,1,0.250000
250,100062,2,1,5,6,4,0.333300
251,100062,2,2,4,2,9,0.266700
252,100063,1,1,2,5,5,0.166700
253,100063,1,2,5,5,2,0.416700
254,100063,2,1,9,2,4,0.600000
255,100063,2,2,9,3,3,0.600000
256,100064,1,1,2,8,4,0.142900
257,100064,1,2,4,8,2,0.285700
258,100064,2,1,5,4,6,0.333300
259,100064,2,2,5,3,7,0.333300
260,100065,1,1,2,0,0,1.000000
261,100065,1,2,0,0,2,0.000000
262,100065,2,1,6,3,6,0.400000
263,100065,2,2,8,2,5,0.533300
264,100066,1,1,2,1,1,0.500000
265,100066,1,2,1,1,2,0.250000
266,100066,2,1,4,3,8,0.266700
267,100066,2,2,7,3,5,0.466700
268,100067,1,1,0,0,0,0.000000
269,100067,1,2,0,0,0,0.000000
270,100067,2,1,0,0,3,0.000000
271,100067,2,2,2,1,0,0.666700
272,100068,1,1,4,1,11,0.250000
273,100068,1,2,11,1,4,0.687500
274,100068,2,1,3,7,5,0.200000
275,100068,2,2,12,3,0,0.800000
276,100069,1,1,0,0,6,0.000000
277,100069,1,2,6,0,0,1.000000
278,100069,2,1,6,3,6,0.400000
279,100069,2,2,9,4,2,0.600000
280,100070,1,1,0,0,0,0.000000
281,100070,1,2,0,0,0,0.000000
282,100070,2,1,10,3,2,0.666700
283,100070,2,2,2,2,0,0.500000
284,100071,1,1,1,6,5,0.083300
285,100071,1,2,5,6,1,0.416700
286,100071,2,1,8,4,3,0.533300
287,100071,2,2,8,2,5,0.533300
288,100072,1,1,3,2,1,0.500000
289,100072,1,2,1,2,3,0.166700
290,100072,2,1,5,6,4,0.333300
291,100072,2,2,4,4,7,0.266700
292,100073,1,1,0,2,6,0.000000
293,100073,1,2,6,2,0,0.750000
294,100073,2,1,3,3,9,0.200000
295,100073,2,2,12,2,1,0.800000
296,100074,1,1,11,5,0,0.687500
297,100074,1,2,0,5,11,0.000000
298,100074,2,1,9,2,4,0.600000
299,100074,2,2,3,3,9,0.200000
300,100075,1,1,5,3,8,0.312500
301,100075,1,2,8,3,5,0.500000
302,100075,2,1,5,3,7,0.333300
303,100075,2,2,5,3,7,0.333300
304,100076,1,1,0,0,0,0.000000
305,100076,1,2,0,0,0,0.000000
306,100076,2,1,4,7,4,0.266700
307,100076,2,2,0,1,3,0.000000
308,100077,1,1,3,1,2,0.500000
309,100077,1,2,2,1,3,0.333300
310,100077,2,1,6,2,7,0.400000
311,100077,2,2,3,5,7,0.200000
312,100078,1,1,1,1,0,0.500000
313,100078,1,2,0,1,1,0.000000
314,100078,2,1,9,2,4,0.600000
315,100078,2,2,7,3,5,0.466700
316,100079,1,1,6,1,5,0.500000
317,100079,1,2,5,1,6,0.416700
318,100079,2,1,2,7,6,0.133300
319,100079,2,2,5,3,7,0.333300
320,100080,1,1,0,0,0,0.000000
321,100080,1,2,0,0,0,0.000000
322,100080,2,1,0,1,4,0.000000
323,100080,2,2,10,2,3,0.666700
324,100081,1,1,0,0,2,0.000000
325,100081,1,2,2,0,0,1.000000
326,100081,2,1,6,4,5,0.400000
327,100081,2,2,7,2,6,0.466700
328,100082,1,1,4,3,5,0.333300
329,100082,1,2,5,3,4,0.416700
330,100082,2,1,9,2,4,0.600000
331,100082,2,2,3,7,5,0.200000
332,100083,1,1,0,0,0,0.000000
333,100083,1,2,0,0,0,0.000000
334,100083,2,1,2,3,0,0.400000
335,100083,2,2,7,4,4,0.466700
336,100084,1,1,5,1,2,0.625000
337,100084,1,2,2,1,5,0.250000
338,100084,2,1,3,5,7,0.200000
339,100084,2,2,2,3,10,0.133300
340,100085,1,1,1,0,1,0.500000
341,100085,1,2,1,0,1,0.500000
342,100085,2,1,5,3,7,0.333300
343,100085,2,2,9,3,3,0.600000
344,100086,1,1,6,0,2,0.750000
345,100086,1,2,2,0,6,0.250000
346,100086,2,1,4,4,7,0.266700
347,100086,2,2,6,5,4,0.400000
348,100087,1,1,8,4,4,0.500000
349,100087,1,2,4,4,8,0.250000
350,100087,2,1,3,2,10,0.200000
351,100087,2,2,5,7,3,0.333300
352,100088,1,1,5,3,6,0.357100
353,100088,1,2,6,3,5,0.428600
354,100088,2,1,4,3,8,0.266700
355,100088,2,2,4,4,7,0.266700
356,100089,1,1,6,3,7,0.375000
357,100089,1,2,7,3,6,0.437500
358,100089,2,1,13,1,1,0.866700
359,100089,2,2,8,4,3,0.533300
360,100090,1,1,8,4,4,0.500000
361,100090,1,2,4,4,8,0.250000
