,match_id,match_count,model_count,change_count,league_count,won,drawn,lost
0,100380,153461,23415,987,35,0.460000,0.280000,0.260000
1,100381,4151,1148,558,17,0.830000,0.110000,0.060000
2,100382,4153,1148,558,19,0.830000,0.110000,0.060000
3,100383,129196,20928,987,28,0.490000,0.270000,0.240000
4,100384,117656,12247,974,32,0.310000,0.280000,0.410000
5,100385,68513,13359,965,29,0.580000,0.240000,0.180000
6,100386,23096,1439,899,8,0.190000,0.220000,0.590000
7,100387,197764,27094,1021,34,0.410000,0.290000,0.300000
8,100388,18321,1040,884,30,0.170000,0.200000,0.630000
9,100389,129196,20928,987,28,0.490000,0.270000,0.240000
10,100390,113248,19775,996,31,0.520000,0.260000,0.220000
11,100391,2770,815,500,1,0.880000,0.080000,0.040000
12,100392,213719,28618,1040,38,0.400000,0.280000,0.320000
13,100393,131904,21571,994,6,0.490000,0.270000,0.240000
14,100394,211051,28676,1043,22,0.410000,0.280000,0.310000
15,100395,186728,27359,1019,35,0.440000,0.280000,0.280000
16,100396,213633,30120,1036,30,0.420000,0.280000,0.300000
17,100397,18315,1039,883,24,0.170000,0.200000,0.630000
18,100398,54126,11377,959,33,0.630000,0.220000,0.150000
19,100399,213633,30120,1036,30,0.420000,0.280000,0.300000
20,100400,218262,28679,1045,18,0.390000,0.280000,0.330000
21,100401,23085,1437,899,36,0.190000,0.220000,0.590000
22,100402,213633,30120,1036,30,0.420000,0.280000,0.300000
23,100403,213633,30120,1036,30,0.420000,0.280000,0.300000
24,100404,5346,1501,649,3,0.840000,0.100000,0.060000
25,100405,8270,2186,707,2,0.790000,0.130000,0.080000
26,100406,209825,28320,1039,5,0.400000,0.280000,0.320000
27,100407,131904,21571,994,6,0.490000,0.270000,0.240000
28,100408,186728,27359,1019,35,0.440000,0.280000,0.280000
29,100409,27308,6352,885,8,0.700000,0.190000,0.110000
30,100410,195286,25648,1027,13,0.390000,0.290000,0.320000
31,100411,81077,15039,979,35,0.560000,0.250000,0.190000
32,100412,54134,11377,959,2,0.630000,0.220000,0.150000
33,100413,156378,18272,991,27,0.350000,0.290000,0.360000
34,100414,153461,23415,987,35,0.460000,0.280000,0.260000
35,100415,153461,23415,987,35,0.460000,0.280000,0.260000
36,100416,173620,24852,998,31,0.430000,0.290000,0.280000
37,100417,2770,815,500,1,0.880000,0.080000,0.040000
38,100418,195286,25648,1027,13,0.390000,0.290000,0.320000
39,100419,7126,1931,704,28,0.810000,0.120000,0.070000
40,100420,94072,9186,963,4,0.290000,0.270000,0.440000
41,100421,213143,27383,1040,8,0.390000,0.290000,0.320000
42,100422,7124,1931,704,26,0.810000,0.120000,0.070000
43,100423,42431,9277,933,38,0.660000,0.210000,0.130000
44,100424,215015,30121,1033,8,0.420000,0.280000,0.300000
45,100425,160829,25475,1006,32,0.480000,0.270000,0.250000
46,100426,2415,68,452,36,0.080000,0.130000,0.790000
47,100427,138649,14999,999,4,0.320000,0.280000,0.400000
48,100428,18321,1040,884,30,0.170000,0.200000,0.630000
49,100429,207500,27848,1035,20,0.400000,0.280000,0.320000
50,100430,18321,1040,884,30,0.170000,0.200000,0.630000
51,100431,100380,10021,953,33,0.300000,0.280000,0.420000
52,100432,213633,30120,1036,30,0.420000,0.280000,0.300000
53,100433,3460,991,538,28,0.860000,0.090000,0.050000
54,100434,996,301,202,21,0.910000,0.060000,0.030000
55,100435,1873,537,328,1,0.860000,0.080000,0.060000
56,100436,158311,24439,1000,10,0.460000,0.280000,0.260000
57,100437,5346,1501,649,3,0.840000,0.100000,0.060000
58,100438,24543,1619,897,12,0.200000,0.220000,0.580000
59,100439,209825,28320,1039,5,0.400000,0.280000,0.320000
60,100440,43462,3314,948,16,0.230000,0.240000,0.530000
61,100441,81044,15037,979,2,0.560000,0.250000,0.190000
62,100442,51764,4225,942,11,0.240000,0.250000,0.510000
63,100443,4151,1148,558,17,0.830000,0.110000,0.060000
64,100444,5297,179,637,32,0.100000,0.140000,0.760000
65,100445,54126,11377,959,33,0.630000,0.220000,0.150000
66,100446,209825,28320,1039,5,0.400000,0.280000,0.320000
67,100447,16550,4146,842,14,0.750000,0.150000,0.100000
68,100448,94337,9171,971,35,0.290000,0.270000,0.440000
69,100449,209825,28320,1039,5,0.400000,0.280000,0.320000
70,100450,158311,24439,1000,10,0.460000,0.280000,0.260000
71,100451,88785,16825,997,21,0.570000,0.240000,0.190000
72,100452,200156,28867,1019,8,0.430000,0.280000,0.290000
73,100453,113012,19717,991,29,0.520000,0.260000,0.220000
74,100454,54126,11377,959,33,0.630000,0.220000,0.150000
75,100455,16551,4146,842,15,0.750000,0.150000,0.100000
76,100456,23095,1439,899,7,0.190000,0.220000,0.590000
77,100457,88785,16825,997,21,0.570000,0.240000,0.190000
78,100458,23095,1439,899,7,0.190000,0.220000,0.590000
79,100459,1497,450,337,15,0.900000,0.070000,0.030000
80,100460,54602,4604,942,2,0.250000,0.250000,0.500000
81,100461,92156,8800,969,38,0.290000,0.270000,0.440000
82,100462,22485,5345,878,21,0.710000,0.180000,0.110000
83,100463,197852,23693,1036,5,0.360000,0.280000,0.360000
84,100464,3460,991,538,28,0.860000,0.090000,0.050000
85,100465,113248,19775,996,31,0.520000,0.260000,0.220000
86,100466,71782,6540,954,22,0.270000,0.260000,0.470000
87,100467,10894,532,797,13,0.150000,0.180000,0.670000
88,100468,171748,19852,1026,31,0.350000,0.280000,0.370000
89,100469,128470,21444,989,4,0.500000,0.270000,0.230000
90,100470,189786,28327,1019,12,0.450000,0.280000,0.270000
91,100471,218262,28679,1045,18,0.390000,0.280000,0.330000
92,100472,212412,26643,1043,18,0.380000,0.280000,0.340000
93,100473,213633,30120,1036,30,0.420000,0.280000,0.300000
94,100474,113248,19775,996,31,0.520000,0.260000,0.220000
95,100475,189786,28327,1019,12,0.450000,0.280000,0.270000
